dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
SwedishLeaf,0.9632,0.9648,0.9616,0.9568,0.9776,0.9616,0.9648,0.968,0.9568,0.9568,0.9568,0.9776,0.9744,0.9632,0.96,0.9696,0.9776,0.9536,0.9584,0.96,0.9568,0.9648,0.96,0.9664,0.968,0.9584,0.9584,0.9488,0.9568,0.9664
Symbols,0.98392,0.976884,0.968844,0.955779,0.974874,0.948744,0.944724,0.973869,0.975879,0.961809,0.960804,0.976884,0.973869,0.937688,0.958794,0.955779,0.941709,0.971859,0.971859,0.970854,0.972864,0.962814,0.953769,0.968844,0.976884,0.976884,0.974874,0.979899,0.979899,0.972864
SyntheticControl,0.98,0.99,0.99,0.99,0.993333,0.993333,0.99,0.99,0.986667,0.99,0.996667,0.986667,0.986667,0.986667,0.996667,0.996667,0.983333,0.986667,0.99,0.986667,0.99,0.993333,0.996667,0.993333,0.986667,0.993333,0.993333,0.99,0.99,0.986667
ToeSegmentation1,0.960526,0.942982,0.934211,0.934211,0.938596,0.938596,0.95614,0.951754,0.942982,0.938596,0.960526,0.947368,0.95614,0.947368,0.894737,0.964912,0.912281,0.95614,0.929825,0.947368,0.925439,0.934211,0.925439,0.942982,0.938596,0.942982,0.934211,0.951754,0.947368,0.934211
ToeSegmentation2,0.923077,0.953846,0.923077,0.961538,0.976923,0.907692,0.923077,0.915385,0.9,0.961538,0.938462,0.938462,0.930769,0.976923,0.9,0.946154,0.946154,0.938462,0.953846,0.961538,0.976923,0.930769,0.961538,0.884615,0.969231,0.915385,0.946154,0.961538,0.969231,0.907692
Trace,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TwoLeadECG,0.998244,0.998244,0.997366,0.998244,0.99561,0.996488,0.998244,0.998244,0.993854,0.998244,0.999122,0.992976,1.0,0.999122,0.998244,0.997366,0.998244,0.998244,0.998244,0.994732,0.997366,0.997366,0.998244,0.998244,0.99561,0.993854,0.998244,0.997366,0.998244,0.993854
TwoPatterns,0.996,0.99625,0.99425,0.99675,0.99325,0.99525,0.9935,0.99375,0.99525,0.99225,0.996,0.9975,0.995,0.994,0.996,0.99525,0.9945,0.996,0.9955,0.9965,0.994,0.998,0.99525,0.99425,0.993,0.9955,0.99625,0.99675,0.9955,0.99725
UMD,0.993056,0.986111,0.993056,0.986111,0.979167,0.972222,0.986111,0.993056,0.993056,0.986111,0.986111,0.993056,0.993056,0.986111,0.993056,1.0,0.993056,0.993056,1.0,0.993056,0.993056,0.979167,0.993056,1.0,0.993056,1.0,0.972222,0.986111,1.0,0.993056
UWaveGestureLibraryAll,0.970687,0.975154,0.979062,0.971803,0.974316,0.975712,0.978224,0.975712,0.972641,0.975991,0.973758,0.972641,0.97292,0.977945,0.97292,0.977108,0.977945,0.978504,0.975154,0.977666,0.973199,0.974037,0.979341,0.969291,0.97292,0.974037,0.976829,0.96957,0.975991,0.97627
UWaveGestureLibraryX,0.846175,0.85818,0.853713,0.854551,0.859017,0.858459,0.851759,0.857901,0.855109,0.859855,0.860972,0.853155,0.852596,0.85818,0.853434,0.853434,0.859017,0.849805,0.853992,0.861251,0.859017,0.859576,0.859576,0.844221,0.859296,0.862647,0.859296,0.857342,0.860692,0.849246
UWaveGestureLibraryY,0.774986,0.774707,0.778057,0.774149,0.789224,0.800391,0.781686,0.781965,0.786991,0.793412,0.778615,0.786153,0.784199,0.785036,0.78392,0.778336,0.779732,0.785595,0.780849,0.779453,0.787549,0.784199,0.778615,0.777499,0.79397,0.772194,0.786153,0.781407,0.793412,0.789503
UWaveGestureLibraryZ,0.795924,0.793132,0.809045,0.79062,0.801787,0.802903,0.798995,0.803183,0.806812,0.794249,0.80067,0.794249,0.802903,0.797878,0.80402,0.80402,0.798716,0.810999,0.804299,0.792295,0.802066,0.800112,0.804578,0.79732,0.802903,0.794249,0.788107,0.805974,0.805974,0.801787
Wafer,0.999351,0.999838,0.999676,0.999838,0.998053,0.999838,0.999838,0.999189,0.999676,0.997891,0.999189,1.0,0.996269,0.999189,0.998864,0.998864,0.998864,0.997404,0.998378,0.999838,0.999189,0.997891,0.999513,0.999189,0.999676,0.999351,0.999189,0.996431,0.999189,0.999676
Wine,0.87037,0.944444,0.925926,0.907407,0.87037,0.981481,0.925926,1.0,0.814815,0.981481,1.0,0.888889,0.814815,1.0,1.0,0.962963,0.981481,0.907407,0.925926,0.851852,0.925926,0.87037,0.944444,0.944444,1.0,0.962963,0.981481,0.796296,0.925926,0.925926
WordSynonyms,0.753918,0.778997,0.77116,0.760188,0.774295,0.775862,0.766458,0.772727,0.766458,0.785266,0.747649,0.774295,0.789969,0.758621,0.744514,0.758621,0.730408,0.780564,0.774295,0.769592,0.780564,0.786834,0.757053,0.761755,0.747649,0.780564,0.780564,0.77116,0.766458,0.760188
Worms,0.74026,0.662338,0.675325,0.753247,0.714286,0.74026,0.831169,0.766234,0.727273,0.675325,0.779221,0.727273,0.753247,0.766234,0.74026,0.714286,0.688312,0.714286,0.805195,0.727273,0.727273,0.701299,0.649351,0.753247,0.753247,0.74026,0.662338,0.662338,0.792208,0.74026
WormsTwoClass,0.792208,0.831169,0.857143,0.831169,0.766234,0.818182,0.74026,0.831169,0.779221,0.779221,0.818182,0.766234,0.753247,0.779221,0.805195,0.766234,0.74026,0.727273,0.883117,0.779221,0.766234,0.792208,0.805195,0.805195,0.818182,0.805195,0.818182,0.779221,0.766234,0.779221
Yoga,0.908667,0.919667,0.914667,0.925667,0.912333,0.926333,0.923,0.920667,0.918667,0.933667,0.920667,0.901333,0.924,0.906667,0.905,0.909,0.921667,0.929333,0.917,0.917333,0.928,0.924333,0.918,0.914667,0.925333,0.906667,0.910667,0.934333,0.919,0.924333
