dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
DistalPhalanxTW,0.683453,0.676259,0.719424,0.705036,0.71223,0.683453,0.690647,0.705036,0.726619,0.676259,0.690647,0.705036,0.640288,0.669065,0.697842,0.719424,0.705036,0.690647,0.697842,0.705036,0.71223,0.705036,0.669065,0.705036,0.705036,0.683453,0.705036,0.697842,0.676259,0.719424
ECG200,0.91,0.9,0.92,0.88,0.91,0.89,0.87,0.88,0.94,0.92,0.93,0.86,0.9,0.92,0.9,0.9,0.85,0.91,0.91,0.89,0.86,0.87,0.88,0.92,0.92,0.93,0.86,0.93,0.88,0.94
ECG5000,0.944667,0.945333,0.947556,0.946667,0.946222,0.948,0.943111,0.941333,0.948,0.946444,0.946444,0.944,0.948444,0.943333,0.946222,0.947333,0.945111,0.945333,0.943111,0.947333,0.949778,0.946,0.945778,0.947778,0.947778,0.946222,0.946222,0.943333,0.948667,0.948444
ECGFiveDays,1.0,1.0,0.997677,0.968641,0.988386,0.990708,0.973287,1.0,1.0,0.998839,0.995354,0.998839,0.95122,0.958188,0.996516,1.0,1.0,0.994193,1.0,0.982578,0.998839,0.969803,0.998839,0.997677,0.998839,0.996516,0.998839,0.979094,0.994193,0.987224
EOGHorizontalSignal,0.599448,0.856354,0.837017,0.845304,0.856354,0.81768,0.839779,0.823204,0.828729,0.870166,0.853591,0.872928,0.842541,0.81768,0.842541,0.853591,0.820442,0.842541,0.839779,0.853591,0.845304,0.848066,0.837017,0.861878,0.839779,0.850829,0.825967,0.845304,0.853591,0.867403
EOGVerticalSignal,0.527624,0.809392,0.80663,0.834254,0.801105,0.828729,0.787293,0.801105,0.787293,0.759669,0.81768,0.825967,0.803867,0.809392,0.80663,0.803867,0.814917,0.798343,0.837017,0.803867,0.776243,0.834254,0.809392,0.792818,0.809392,0.801105,0.801105,0.823204,0.812155,0.81768
Earthquakes,0.748201,0.748201,0.748201,0.748201,0.748201,0.748201,0.748201,0.748201,0.748201,0.748201,0.748201,0.748201,0.755396,0.748201,0.748201,0.748201,0.748201,0.748201,0.748201,0.748201,0.748201,0.748201,0.748201,0.748201,0.748201,0.748201,0.748201,0.748201,0.748201,0.755396
ElectricDevices,0.731163,0.881079,0.874206,0.883024,0.874984,0.873946,0.881468,0.880171,0.871612,0.875762,0.886266,0.878096,0.879393,0.883284,0.877188,0.88069,0.881857,0.878615,0.880041,0.88069,0.877059,0.877448,0.878745,0.87667,0.878226,0.878356,0.88082,0.883802,0.886655,0.879652
EthanolLevel,0.598,0.648,0.7,0.682,0.678,0.666,0.652,0.644,0.662,0.636,0.668,0.672,0.672,0.666,0.688,0.67,0.66,0.672,0.632,0.638,0.658,0.65,0.69,0.678,0.658,0.67,0.654,0.696,0.698,0.664
FaceAll,0.808284,0.992899,0.992308,0.991716,0.993491,0.988757,0.986982,0.986391,0.988757,0.987574,0.991124,0.990533,0.988757,0.990533,0.990533,0.988757,0.984615,0.989941,0.990533,0.989941,0.990533,0.984615,0.989349,0.986391,0.993491,0.987574,0.986982,0.992308,0.991124,0.988757
FaceFour,0.988636,0.988636,0.988636,0.875,0.931818,0.920455,0.897727,0.977273,0.897727,0.909091,0.965909,0.977273,0.920455,0.909091,0.977273,0.977273,0.897727,0.965909,0.886364,0.977273,0.920455,0.909091,0.965909,0.977273,0.943182,0.977273,0.954545,0.897727,0.943182,0.886364
FacesUCR,0.958049,0.960976,0.97122,0.970244,0.963415,0.971707,0.977561,0.965366,0.976098,0.964878,0.974146,0.965854,0.968293,0.965854,0.963415,0.970244,0.971707,0.958049,0.979512,0.97561,0.96439,0.96878,0.968293,0.973171,0.967317,0.959512,0.976098,0.972683,0.974146,0.962927
FiftyWords,0.83956,0.81978,0.824176,0.810989,0.832967,0.806593,0.824176,0.837363,0.828571,0.837363,0.830769,0.83956,0.821978,0.837363,0.804396,0.848352,0.828571,0.830769,0.837363,0.843956,0.835165,0.817582,0.795604,0.843956,0.830769,0.835165,0.817582,0.848352,0.826374,0.835165
Fish,0.971429,0.971429,0.994286,0.988571,0.982857,0.982857,0.977143,0.96,0.977143,0.982857,0.954286,0.96,0.954286,0.977143,0.988571,0.977143,0.971429,0.965714,0.977143,0.971429,0.96,0.977143,0.982857,0.971429,0.971429,0.971429,0.988571,0.988571,0.988571,0.965714
FordA,0.95,0.939394,0.947727,0.94697,0.942424,0.950758,0.937879,0.940152,0.943182,0.953788,0.949242,0.953788,0.953788,0.940152,0.942424,0.94697,0.940909,0.95,0.950758,0.950758,0.949242,0.953788,0.948485,0.953788,0.951515,0.950758,0.950758,0.950758,0.951515,0.953788
FordB,0.812346,0.928395,0.939506,0.932099,0.924691,0.92963,0.92963,0.940741,0.920988,0.935802,0.934568,0.945679,0.917284,0.914815,0.928395,0.932099,0.924691,0.923457,0.92716,0.937037,0.935802,0.930864,0.92963,0.948148,0.934568,0.928395,0.937037,0.934568,0.930864,0.914815
FreezerRegularTrain,0.999649,1.0,0.999298,0.999649,0.998246,0.999649,0.999649,1.0,0.998596,0.999298,1.0,0.997895,0.999298,0.997895,0.998596,0.999649,0.997895,0.999649,0.998947,0.997895,0.999298,0.996491,1.0,0.999649,0.999298,0.999298,0.999649,0.999298,0.999298,0.999649
